PlayerID,PlayerName,TeamID,TeamName
40001087,Jose Maria Olazabal,6,Fee
40000200,Angel Cabrera,7,Mottola
40002648,Max Greyserman,16,Bagnowski
40006412,Jackson Herrington,1,Gilson
40003220,Rasmus Hojgaard,14,Gibb
40000638,Max Homa,16,Bagnowski
40003812,Casey Jarvis,21,Penton
40002249,Kurt Kitayama,8,Huszczo
40005036,Matt McCarty,9,M. Ayers
40003142,Kristoffer Reitan,6,Fee
40001317,Vijay Singh,8,Huszczo
40003478,Sami Valimaki,13,Hivnor
40000859,Hao-Tong Li,21,Penton
40004738,Rasmus Neergaard-Petersen,20,Plato
40001290,Charl Schwartzel,11,Mignogna
40000448,Ryan Fox,15,Ferritto
40004702,Naoyuki Kataoka,10,Kaprosy
40006004,Johnny Keefer,18,Kaminsky
40005299,Aldrich Potgieter,22,Randazzo
40001097,Carlos Ortiz,17,Hoban
40003252,Ludvig Aberg,11,Mignogna
40000115,Daniel Berger,3,Mucci
40003519,Akshay Bhatia,21,Penton
40000152,Keegan Bradley,17,Hoban
40005053,Michael Brennan,7,Mottola
40005133,Jacob Bridgeman,21,Penton
40000194,Sam Burns,9,M. Ayers
40000205,Brian Campbell,19,Baucher
40000216,Patrick Cantlay,7,Mottola
40002651,Wyndham Clark,12,J. Ayers
40000270,Corey Conners,2,Brunetti
40000285,Fred Couples,,#N/A
40000314,Jason Day,5,Campbell
40000322,Bryson DeChambeau,5,Campbell
40003315,Nicolas Echavarria,1,Gilson
40000387,Harris English,22,Randazzo
40006294,Ethan Fang,2,Brunetti
40000430,Matt Fitzpatrick,7,Mottola
40000432,Tommy Fleetwood,4,Stull
40000479,Sergio Garcia,13,Hivnor
40005232,Ryan Gerard,13,Hivnor
40005060,Chris Gotterup,14,Gibb
40002343,Ben Griffin,20,Plato
40003725,Harry Hall,17,Hoban
40000585,Brian Harman,10,Kaprosy
40000596,Tyrrell Hatton,10,Kaprosy
40000615,Russell Henley,17,Hoban
40003193,Nicolai Hojgaard,6,Fee
40006413,Brandon Holtz,,#N/A
40003218,Viktor Hovland,20,Plato
40006268,Mason Howell,5,Campbell
40002605,Sung-Jae Im,22,Randazzo
40000015,Dustin Johnson,15,Ferritto
40000012,Zach Johnson,14,Gibb
40000763,Michael Kim,3,Mucci
40000764,Si Woo Kim,15,Ferritto
40000775,Jake Knapp,11,Mignogna
40000007,Brooks Koepka,16,Bagnowski
40006414,Pongsapak Laopakdee,4,Stull
40002925,Min Woo Lee,18,Kaminsky
40000890,Shane Lowry,12,J. Ayers
40002950,Robert MacIntyre,10,Kaprosy
40000017,Hideki Matsuyama,12,J. Ayers
40000965,Rory McIlroy,2,Brunetti
40003147,Tom McKibbin,20,Plato
40000977,Maverick McNealy,14,Gibb
40000991,Phil Mickelson,,#N/A
40002471,Collin Morikawa,9,M. Ayers
40001064,Alexander Noren,22,Randazzo
40002911,Andrew Novak,8,Huszczo
40003697,Marco Penge,4,Stull
40006415,Mateo Pulcini,3,Mucci
40001199,Jon Rahm,15,Ferritto
40002578,Aaron Rai,1,Gilson
40000002,Patrick Reed,19,Baucher
40001224,Davis Riley,18,Kaminsky
40000013,Justin Rose,13,Hivnor
40001638,Xander Schauffele,8,Huszczo
40001274,Scottie Scheffler,1,Gilson
40000010,Adam Scott,2,Brunetti
40001333,Cameron Smith,5,Campbell
40001353,J.J. Spaun,6,Fee
40000004,Jordan Spieth,16,Bagnowski
40004729,Sam Stevens,4,Stull
40002785,Sepp Straka,18,Kaminsky
40001424,Nick Taylor,19,Baucher
40001434,Justin Thomas,19,Baucher
40000001,Bubba Watson,12,J. Ayers
40001536,Mike Weir,,#N/A
40001565,Danny Willett,9,M. Ayers
40001594,Gary Woodland,11,Mignogna
40003609,Cameron Young,3,Mucci
